reviews
"✅ Trip Verified |  Doha-Bangkok 29 Dec. 2022 on a B777-300ER. Flight on time upon two aircraft type changes. Smooth cooperation with their new partner Rwandair by whom I arrived with in Doha early morning coming from Kigali. The Platinum lounge that I chose in Doha, appears to be the “flagship” among three newer frequent flyer lounges in Doha for Oneworld silver, gold, and platinum card holders. It had a la carte dining, champagne, showers, tarmac view, sleeping areas. Seat prebooked provided and automatically changed to fit into new aircraft type. Due to New Year, flight was full, likely overbooked despite changed to larger aircraft in last Minute. Seat-block or upgrade was not possible. I was respected as frequent flier and given exit row without charges. Dinner details were announced on their homepage already 2-3 weeks prior to flight, what an impressive effort (“Preview Onboard Menu”); they provided 3 options, all found available. I chose Teriyaki chicken and later beef ragout with mashed potatoes, all good. I prefer this proper dinner and do not mind they skipped breakfast. A Spanish cava sparkling wine was offered as one of 3 wines onboard; beers industrial and watery: only Stella Artois and Budwiser. Food concept always with narrow options and slim concepts over the last 15 years. Conservative airline, lacks life, colours, and innovation, though quite predictable and faultless. FAs well-rested, groomed, but deprived of charm. IFE was good with individual quality monitors; quality headsets were provided to all; likewise blankets, pillows, and amenity kits. Aircraft and toilets were well kept. Despite I had a complex booking issued by an online travel agent, it was easy to handle and detail on airline’s homepage. Miles were credited separately to the different airlines' (QR and WB) frequent flier programs without issues. I did not see my luggage in Bangkok: it was transferred smoothly the entire route from Africa to Saigon. This, even it was partly mislabeled at its inscribed origin in Kigali to final destination in SE-Asia with Vietnam Airlines who is in the competing Skyteam alliance. Impressive work by QR who, together with the airport in Bangkok, saved the mistake done by Rwandair in Kigali. I very rarely have had any luggage issues with QR, maybe in 2 flights of 100 – and in these rare cases, they have done their best to assist me. "
"✅ Trip Verified |  We purchased our package in March of 2022, scheduled for November 2022. There were three changes to our flight. The first was in August 2022. They stated the flight number and time was changed. We agreed to the changes. The next change was September 2022, they stated the flight numbers changed again. The last change was right before we left in October 2022. This time they changed our plane. When we originally chose our flight and seats we knew what the aircraft was. When they changed the plane, we did not. We called and spoke with several agents who were not helpful at all. Once I was able to get someone, they could not tell me the name of the updated aircraft. They just kept saying you have extra leg room seats. From all of the aircrafts I saw, there was no way the seat number I originally paid for on this new plane was extra leg room seats and I was right. When we got to our layover city, I was told that the plane was full and my seats were no longer available. They couldn't upgrade me or give me my money back.  I paid for these seats and I was not upgraded and I had to reach out to after I got home to request a refund. We went on the flight got there and had an awesome time in Maldives. However, coming back was the same, they put two planes that were not full together again and our seats were not available and we had to ride back with no extra leg room on a 12 hour flight. I have filed a report with Qatar requesting my money back on 20th November.  I send email after email, call after call and no help. "
"✅ Trip Verified |  Flights and service were good as usual, with a high standard and service and catering. What is getting really bad is Doha airport. I departed from the dreaded bus gate area downstairs. It seems this becomes the norm now, since almost all my flights this year were bus transfers. It becomes more and more chaotic, but todays experience was really really bad. It was utter chaos with unorganized lines, frustrated and rude gate agents.  The shortage of buses added to the chaos. With this, Doha is miles away from becoming a world class airport."
"✅ Trip Verified | Quite good airline. However they sometimes miss-schedule the flights due to very heavy traffic in their own HQ airport - Hamad. Be careful if you have a short transiting time. The aircraft are normally big and well equipped. Inflight entertainment are also very good. Check-in times are fast and easy, you can check-in very early at HIA with Qatar airways. However the prices are expensive"
Not Verified | It took 45 minutes from the plane stopping to get to the terminal.  Then a long chaotic security line. Not impressed at all. Almost missed our connecting flight. 
"✅ Trip Verified |  Absolutely horrendous experience. The plane experienced a technical fault and our 0135 flight was cancelled. No fault with Qatar Airways, I realise this wasn’t their fault. However the subsequent quality of service was abysmal. Total pandemonium at the gate where having spent 2 hours on the plane with zero communication, we then queued at the gate for 5 hours and it was an absolute frenzy. Some people got their tickets changed, others told to go away. Most were told to go to the hotel and just wait for an update. By the time we left it was 8.35 am. Again no communication, no idea where they’re going and no one told us. "
"✅ Trip Verified | This is simply the best - from beginning to the end. The cabin is great with very spacious seats/beds. Extremely comfortable seats that turn into great beds that are made up by very helpful cabin personnel. The food was great and so was the selection. Especially the choices for breakfast were amazing. The restroom was spacious and very delicate. Service; as always on Qatar, excellent in all ways; smiling, correct and attentive. I don´t think there is anything better out there. Whether it is worth the price is a subjective thing. It was simply great."
"✅ Trip Verified | Great trip as always with Qatar. Seats are very comfortable, fully declining and easy to adjust. The seating arrangements are excellent offering both privacy or easy communication with your neighbour if not traveling alone. Great food, good selection - amazing how they manage. Crew, again as always, very attentive and smiling through the flight. You may argue that the boarding in Doha was a but chaotic (bus transport to plane) but we all got on board without any hassle. Luggage pick up in Oslo somewhat of a disaster (long waiting) but that is due to no fault of the airline. Highly recommended."
"✅ Trip Verified | From booking to landing, everything was smooth, easy, and convenient. The crew, whether on the ground or in the air were absolutely lovely and the offers of food, beverages and entertainment were stellar. The service was personalized and the air hostess would continually check in. The cabin was clean and the crew ensured the toilets were regularly checked. I have never been more comfortable on a 14 hour flight."
"✅ Trip Verified |  Seat 40K, window seat without a window, so off to a bad start. Cabin service was inconsistent and was twice ignored drinks service despite the rows ahead getting 2 drinks services. Crew not attentive; grumpy and rude. Booked as an overall British Airways ticket and QR didn't come close to expectations."
